BAWW,Black-and-white Warbler,Mniotilta varia,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
MOWA,Mourning Warbler,Geothlypis philadelphia,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
CONW,Connecticut Warbler,Oporornis agilis,,5/19/23,USA,NE,,,Fontanelle Forest,,,,,,
CAWA,Canada Warbler,Cardellina canadensis,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
SLAR,Slate-throated Redstart,Myioborus miniatus,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
UUQ,Golden-fronted Redstart,Myioborus ornatus,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
UUY,Citrine Warbler,Myiothlypis luteoviridis,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
UUZ,Black-crested Warbler,Myiothlypis nigrocristata,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
UVE,Russet-crowned Warbler,Myiothlypis coronata,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BNP,Three-striped Warbler,Basileuterus tristriatus,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BNQ,Buff-rumped Warbler,Myiothlypis fulvicauda,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BUS,Scarlet-rumped Cacique,Cacicus uropygialis,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
VRD,Russet-backed Oropendola,Psarocolius angustifrons,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BUL,Yellow-backed Oriole,Icterus chrysater,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
VTX,Red-bellied Grackle,Hypopyrrhus pyrohypogaster,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BUD,Giant Cowbird,Molothrus oryzivorus,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
SHCO,Shiny Cowbird,Molothrus bonariensis,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BVC,Yellow-bellied Siskin,Spinus xanthogastrus,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
LEGO,Lesser Goldfinch,Spinus psaltria,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BOX,Thick-billed Euphonia,Euphonia laniirostris,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
BPH,Orange-bellied Euphonia,Euphonia xanthogaster,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
VDJ,Blue-naped Chlorophonia,Chlorophonia cyanea,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
VDK,Chestnut-breasted Chlorophonia,Chlorophonia pyrrhophrys,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
GTGR,Great-tailed Grackle,Quiscalus mexicanus,,3/4/14,Colombia,Cauca,,,Cauca Valley to Medellin,,,,,,
GTGR,Great-tailed Grackle,Quiscalus mexicanus,,8/1/18,Costa Rica,,,,San Jose,,,,,,
TUVU,Turkey Vulture,Cathartes aura,,8/1/18,Costa Rica,,,,San Jose,,,,,,
AJM,Crimson-fronted Parakeet,Psittacara finschi,,8/1/18,Costa Rica,,,,San Jose,,,,,,
BEE,Blue-and-white Swallow,Pygochelidon cyanoleuca,,8/1/18,Costa Rica,,,,San Jose,,,,,,
WWDO,White-winged Dove,Zenaida asiatica,,8/1/18,Costa Rica,,,,San Jose,,,,,,
BLVU,Black Vulture,Coragyps atratus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BEE,Blue-and-white Swallow,Pygochelidon cyanoleuca,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
CJD,Talamanca Hummingbird,Eugenes spectabilis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
APT,Fiery-throated Hummingbird,Panterpe insignis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
LEVI,Lesser Violetear,Colibri cyanotus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ARE,White-throated Mountain-gem,Lampornis castaneoventris,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BTU,Volcano Junco,Junco vulcani,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ARV,Volcano Hummingbird,Selasphorus flammula,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BTPI,Band-tailed Pigeon,Patagioenas fasciata,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ASP,Resplendent Quetzal,Pharomachrus mocinno,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ATW,Northern Emerald-Toucanet,Aulacorhynchus prasinus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ACWO,Acorn Woodpecker,Melanerpes formicivorus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AXA,Spot-crowned Woodcreeper,Lepidocolaptes affinis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AVS,Ruddy Treerunner,Margarornis rubiginosus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AVT,Buffy Tuftedcheek,Pseudocolaptes lawrencii,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AVN,Red-faced Spinetail,Cranioleuca erythrops,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AYX,Rough-legged Tyrannulet,Phyllomyias burmeisteri,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
VVK,Mistletoe Tyrannulet,Zimmerius parvus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BBB,Dark Pewee,Contopus lugubris,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
TRKI,Tropical Kingbird,Tyrannus melancholicus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BLPH,Black Phoebe,Sayornis nigricans,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BCQ,Barred Becard,Pachyramphus versicolor,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BJS,Black-billed Nightingale-Thrush,Catharus gracilirostris,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BJW,Ruddy-capped Nightingale-Thrush,Catharus frantzii,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BMO,Flame-throated Warbler,Oreothlypis gutturalis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BKA,Sooty Thrush,Turdus nigrescens,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BKC,Mountain Thrush,Turdus plebejus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BLJ,Long-tailed Silky-flycatcher,Ptiliogonys caudatus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BHN,Ochraceous Wren,Troglodytes ochraceus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BHR,Gray-breasted Wood-Wren,Henicorhina leucophrys,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BMA,Yellow-winged Vireo,Vireo carmioli,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BNL,Collared Redstart,Myioborus torquatus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BNN,Black-cheeked Warbler,Basileuterus melanogenys,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BTD,Slaty Flowerpiercer,Diglossa plumbea,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BTB,Peg-billed Finch,Acanthidops bairdi,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BRQ,Large-footed Finch,Pezopetes capitalis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BRR,White-naped Brushfinch,Atlapetes albinucha,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BQR,Sooty-capped Chlorospingus,Chlorospingus pileatus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BTT,Rufous-collared Sparrow,Zonotrichia capensis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BVC,Yellow-bellied Siskin,Spinus xanthogastrus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BHP,Timberline Wren,Thryorchilus browni,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AEM,Spotted Wood-Quail,Odontophorus guttatus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ASTK,Swallow-tailed Kite,Elanoides forficatus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AHE,Ruddy Pigeon,Patagioenas subvinacea,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AJZ,Barred Parakeet,Bolborhynchus lineola,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
GIE,Costa Rican Pygmy-Owl,Glaucidium costaricanum,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ANM,White-chinned Swift,Cypseloides cryptus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ASH,Collared Trogon,Trogon collaris,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ATU,Red-headed Barbet,Eubucco bourcierii,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
HAWO,Hairy Woodpecker,Dryobates villosus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AYW,Silvery-fronted Tapaculo,Scytalopus argentifrons,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AZN,Mountain Elaenia,Elaenia frantzii,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
TUFL,Tufted Flycatcher,Mitrephanes phaeocercus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BBC,Ochraceous Pewee,Contopus ochraceus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BBL,Black-capped Flycatcher,Empidonax atriceps,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BMN,Rufous-browed Peppershrike,Cyclarhis gujanensis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BEV,Silvery-throated Jay,Cyanolyca argentigula,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AMDI,American Dipper,Cinclus mexicanus,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BJK,Black-faced Solitaire,Myadestes melanops,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
CCRO,Clay-colored Thrush,Turdus grayi,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BNR,Wrenthrush,Zeledonia coronata,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BOH,Spangle-cheeked Tanager,Tangara dowii,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BRO,Yellow-thighed Brushfinch,Atlapetes tibialis,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BPA,Elegant Euphonia,Euphonia elegantissima,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
BOT,Golden-browed Chlorophonia,Chlorophonia callophrys,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AME,Bare-shanked Screech-Owl,Megascops clarkii,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AMT,Unspotted Saw-whet Owl,Aegolius ridgwayi,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
ADQ,Black Guan,Chamaepetes unicolor,,8/3/18,Costa Rica,,,,Los Quetzales NP Hwy2,,,,,,
AAA,Great Tinamou,Tinamus major,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AAC,Little Tinamou,Crypturellus soui,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AAE,Slaty-breasted Tinamou,Crypturellus boucardi,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ADU,Great Curassow,Crax rubra,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ADS,Crested Guan,Penelope purpurascens,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AHA,Pale-vented Pigeon,Patagioenas cayennensis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
RBPI,Red-billed Pigeon,Patagioenas flavirostris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AHG,Short-billed Pigeon,Patagioenas nigrirostris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
OLCO,Neotropic Cormorant,Phalacrocorax brasilianus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BBWD,Black-bellied Whistling-Duck,Dendrocygna autumnalis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
COGD,Common Ground Dove,Columbina passerina,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
RUGD,Ruddy Ground Dove,Columbina talpacoti,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AHT,Olive-backed Quail-Dove,Leptotrygon veraguensis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
WTDO,White-tipped Dove,Leptotila verreauxi,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ALQ,Squirrel Cuckoo,Piaya cayana,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
GBAN,Groove-billed Ani,Crotophaga sulcirostris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ANJ,Great Potoo,Nyctibius grandis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ANO,Chestnut-collared Swift,Streptoprocne rutila,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
WCSW,White-collared Swift,Streptoprocne zonaris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
VASW,Vaux's Swift,Chaetura vauxi,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ANU,Gray-rumped Swift,Chaetura cinereiventris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AOQ,White-necked Jacobin,Florisuga mellivora,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AOC,Green Hermit,Phaethornis guy,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AFV,Long-billed Hermit,Phaethornis longirostris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AFY,Stripe-throated Hermit,Phaethornis striigularis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ARK,Purple-crowned Fairy,Heliothryx barroti,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
APC,Violet-headed Hummingbird,Klais guimeti,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AQW,Snowcap,Microchera albocoronata,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AQY,Bronze-tailed Plumeleteer,Chalybura urochrysia,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
CAC,Crowned Woodnymph,Thalurania colombica,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AQN,Rufous-tailed Hummingbird,Amazilia tzacatl,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AEX,White-throated Crake,Laterallus albigularis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AEZ,Gray-cowled Wood-Rail,Aramides cajaneus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AGB,Uniform Crake,Amaurolimnas concolor,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
SPSA,Spotted Sandpiper,Actitis macularius,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
NOJA,Northern Jacana,Jacana spinosa,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ABJ,Fasciated Tiger-Heron,Tigrisoma fasciatum,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
CAEG,Cattle Egret,Bubulcus ibis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ABQ,Green Ibis,Mesembrinibis cayennensis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ANHI,Anhinga,Anhinga anhinga,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BLVU,Black Vulture,Coragyps atratus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
TUVU,Turkey Vulture,Cathartes aura,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ACA,King Vulture,Sarcoramphus papa,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ACG,Plumbeous Kite,Ictinia plumbea,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
HBKI,Hook-billed Kite,Chondrohierax uncinatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ASTK,Swallow-tailed Kite,Elanoides forficatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ACB,Gray-headed Kite,Leptodon cayanensis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ACQ,Great Black Hawk,Buteogallus urubitinga,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ROHA,Roadside Hawk,Rupornis magnirostris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ACZ,Black Hawk-Eagle,Spizaetus tyrannus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AMJ,Crested Owl,Lophostrix cristata,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AMK,Spectacled Owl,Pulsatrix perspicillata,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
MOOW,Mottled Owl,Ciccaba virgata,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ASM,Slaty-tailed Trogon,Trogon massena,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ASK,Black-throated Trogon,Trogon rufus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ATB,Broad-billed Motmot,Electron platyrhynchum,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
GKIN,Green Kingfisher,Chloroceryle americana,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ATX,Collared Aracari,Pteroglossus torquatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ATZ,Yellow-eared Toucanet,Selenidera spectabilis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AUA,Keel-billed Toucan,Ramphastos sulfuratus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
EOG,Yellow-throated Toucan,Ramphastos ambiguus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AUJ,Black-cheeked Woodpecker,Melanerpes pucherani,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AVB,Cinnamon Woodpecker,Celeus loricatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AVH,Pale-billed Woodpecker,Campephilus guatemalensis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AUQ,Hoffmann's Woodpecker,Melanerpes hoffmannii,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
CRCA,Crested Caracara,Caracara cheriway,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ADD,Laughing Falcon,Herpetotheres cachinnans,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
ADJ,Bat Falcon,Falco rufigularis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AJP,Olive-throated Parakeet,Eupsittula nana,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AJU,Great Green Macaw,Ara ambiguus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AJM,Crimson-fronted Parakeet,Psittacara finschi,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AKD,Orange-chinned Parakeet,Brotogeris jugularis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AKJ,Brown-hooded Parrot,Pyrilia haematotis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AKL,White-crowned Parrot,Pionus senilis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AKU,Red-lored Parrot,Amazona autumnalis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AKV,Mealy Parrot,Amazona farinosa,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AXD,Fasciated Antshrike,Cymbilaimus lineatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AXM,Russet Antshrike,Thamnistes anabatinus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AXO,Streak-crowned Antvireo,Dysithamnus striaticeps,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AXT,White-flanked Antwren,Myrmotherula axillaris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AXS,Checker-throated Stipplethroat,Epinecrophylla fulviventris,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AXW,Dot-winged Antwren,Microrhopias quixensis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AYD,Chestnut-backed Antbird,Poliocrania exsul,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AYH,Spotted Antbird,Hylophylax naevioides,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AYR,Streak-chested Antpitta,Hylopezus perspicillatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AYM,Black-faced Antthrush,Formicarius analis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AWK,Plain-brown Woodcreeper,Dendrocincla fuliginosa,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AWP,Wedge-billed Woodcreeper,Glyphorynchus spirurus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
YDE,Northern Barred-Woodcreeper,Dendrocolaptes sanctithomae,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
YDF,Cocoa Woodcreeper,Xiphorhynchus susurrans,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AWX,Spotted Woodcreeper,Xiphorhynchus erythropygius,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AWZ,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AWC,Plain Xenops,Xenops minutus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AVY,Buff-fronted Foliage-gleaner,Philydor rufum,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AVU,Striped Woodhaunter,Automolus subulatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AZR,Ochre-bellied Flycatcher,Mionectes oleagineus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AZY,Black-capped Pygmy-Tyrant,Myiornis atricapillus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
AZZ,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BAB,Northern Bentbill,Oncostoma cinereigulare,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BAE,Common Tody-Flycatcher,Todirostrum cinereum,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BAR,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BBD,Tropical Pewee,Contopus cinereus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BBQ,Bright-rumped Attila,Attila spadiceus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BBS,Rufous Mourner,Rhytipterna holerythra,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
GKIS,Great Kiskadee,Pitangus sulphuratus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BCE,Boat-billed Flycatcher,Megarynchus pitangua,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BCH,Social Flycatcher,Myiozetetes similis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BCK,White-ringed Flycatcher,Conopias albovittatus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
TRKI,Tropical Kingbird,Tyrannus melancholicus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BCZ,Black-crowned Tityra,Tityra inquisitor,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BCS,Cinnamon Becard,Pachyramphus cinnamomeus,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BDK,Bare-necked Umbrellabird,Cephalopterus glabricollis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
MWM,White-ruffed Manakin,Corapipo altera,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BDV,White-crowned Manakin,Dixiphia pipra,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BDQ,White-collared Manakin,Manacus candei,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BMJ,Lesser Greenlet,Pachysylvia decurtata,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BRJA,Brown Jay,Psilorhinus morio,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BEC,Mangrove Swallow,Tachycineta albilinea,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
BEJ,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,,8/6/18,Costa Rica,,,,Braulio Carillo NP and lowlands,,,,,,
