EMU,Chestnut-tipped Toucanet,Aulacorhynchus derbianus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
GREJ,Green Jay,Cyanocorax yncas,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
VEZ,Metallic-green Tanager,Tangara labradorides,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
NSO,Olive-backed Woodcreeper,Xiphorhynchus triangularis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
VDO,Orange-eared Tanager,Chlorochrysa calliparaea,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
VAO,Silver-beaked Tanager,Ramphocelus carbo,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
VEL,Spotted Tanager,Ixothraupis punctata,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
SWTH,Swainson's Thrush,Catharus ustulatus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also; very abundant migrant,
TRPA,Tropical Parula,Setophaga pitiayumi,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
GUQ,White-necked Parakeet,Pyrrhura albipectus,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
UNR,Yellow-browed Sparrow,Ammodramus aurifrons,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
BQT,Ashy-throated Chlorospingus,Chlorospingus canigularis,,1/8/98,Ecuador,Zamora Chinchipe,,,Loja-Zamora Road,,,,,Rio Bombuscaro also,
BQT,Ashy-throated Chlorospingus,Chlorospingus canigularis,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
EMV,Crimson-rumped Toucanet,Aulacorhynchus haematopygus,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
GUO,El Oro Parakeet,Pyrrhura orcesi,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,1998: fairly certain of identification but would like better looks,
BQH,Flame-rumped Tanager,Ramphocelus flammigerus,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
LAB,Gray-backed Hawk,Pseudastur occidentalis,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
BON,Green Honeycreeper,Chlorophanes spiza,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
GBMA,Gray-breasted Martin,Progne chalybea,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
AHE,Ruddy Pigeon,Patagioenas subvinacea,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
AZZ,Scale-crested Pygmy-Tyrant,Lophotriccus pileatus,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
BOA,Silver-throated Tanager,Tangara icterocephala,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
BEJ,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
ASTK,Swallow-tailed Kite,Elanoides forficatus,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
BSL,Yellow-bellied Seedeater,Sporophila nigricollis,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
APFA,Aplomado Falcon,Falco femoralis,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
BSG,Blue-black Grassquit,Volatinia jacarina,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
VUJ,Scrub Blackbird,Dives warczewiczi,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
SHCO,Shiny Cowbird,Molothrus bonariensis,,1/8/98,Ecuador,El Oro,,,Pinas (Buenaventura),,,,,,
HOB,Amethyst-throated Sunangel,Heliangelus amethysticollis,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
VOE,Black Flowerpiercer,Diglossa humeralis,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
MAM,Black-throated Tody-Tyrant,Hemitriccus granadensis,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
UWM,Capped Conebill,Conirostrum albifrons,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
NUD,Chestnut-naped Antpitta,Grallaria nuchalis,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
VOB,Glossy Flowerpiercer,Diglossa lafresnayii,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
VBY,Golden-crowned Tanager,Iridosornis rufivertex,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,"very certain ID, roadside at QH - supposed to occur only on east side of Andes",
MTD,Green-and-black Fruiteater,Pipreola riefferii,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
UXM,Gray-hooded Bush Tanager,Cnemoscopus rubrirostris,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
RGK,Pale-footed Swallow,Orochelidon flavipes,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
PVL,White-capped Dipper,Cinclus leucocephalus,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,,
JME,Croaking Ground Dove,Columbina cruziana,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,Tumbesian habitat en route to QH via Yangana,
NHW,Pale-legged Hornero,Furnarius leucopus,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,Considered separate species Pacific Hornero; Tumbesian habitat en route to QH via Yangana,
QBE,Glossy-black Thrush,Turdus serranus,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,Loja-Zamora Road also,
HPW,Long-tailed Sylph,Aglaiocercus kingii,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,Loja-Zamora Road also,
HOWR,House Wren,Troglodytes aedon,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,Loja-Zamora Road also,
VON,Bluish Flowerpiercer,Diglossa caerulescens,,1/8/98,Ecuador,Loja,,,Quebrada Honda,,,,,Rio Bombuscaro also,
NLO,Ash-browed Spinetail,Cranioleuca curtata,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
BANA,Bananaquit,Coereba flaveola,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
QBS,Black-billed Thrush,Turdus ignobilis,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
NCP,Blackish Antbird,Cercomacroides nigrescens,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
BRH,Blue-black Grosbeak,Cyanoloxia cyanoides,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
MVZ,Blue-rumped Manakin,Lepidothrix isidorei,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
VCZ,Bronze-green Euphonia,Euphonia mesochrysa,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
HNH,Bronzy Inca,Coeligena coeligena,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
QBM,Chestnut-bellied Thrush,Turdus fulviventris,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
ANO,Chestnut-collared Swift,Streptoprocne rutila,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
BQO,Common Chlorospingus,Chlorospingus flavopectus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
EOW,Coppery-chested Jacamar,Galbula pastazae,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
BUV,Crested Oropendola,Psarocolius decumanus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
HMA,Ecuadorian Piedtail,Phlogophilus hemileucurus,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
NOC,Equatorial Graytail,Xenerpestes singularis,,1/8/98,Ecuador,Zamora Chinchipe,,,Rio Bombuscaro,,,,,,
