Family,Common Name,Specific Name,Date,Location,Country,State,Total
,Black Tern,Chlidonias niger,,F.I.I.K.,,Nebraska,
,Caspian Tern,,,,,Nebraska,
,Common Tern,Sterna hirundo,,Bell Haven,,Connecticut,
,Forster's Tern,Sterna forsteri,,Calamus Reservoir,,Nebraska,
,Gull-billed Tern,,5/11/19,Brigantine,,New Jersey,
,Least Tern,Sternula antillarum,,Todd's Point,,Connecticut,
,Royal Tern,,,Vero beach,,Florida,
Procellaridae,Black-footed Albatross,Phoebastria nigripes,10/5/19,Monterey Bay,,California ,
,Black-vented Shearwater,,12/20/17,Newport Beach,,California ,
,Buller's Shearwater,Ardenna bulleri,10/5/19,Monterey Bay,,California ,
,Pink-footed Shearwater,Ardenna creatopus,10/5/19,Monterey Bay,,California ,
,Sooty Shearwater,Ardenna grisea,10/5/19,Monterey Bay,,California ,
Stercorariidae,Pomarine Jaeger,Stercorarius pomarinus,10/5/19,Monterey Bay,,California ,
,South Polar Skua,Stercorarius maccormicki,10/5/19,Monterey Bay,,California ,
Sulidae,Nazca Booby,,12/22/17,Coronado,,California,
,Northern Gannet,Marus basanus,5/11/19,Cape May ,,New Jersey,
Alcidae,Common Murre,Uria aalge,10/5/19,Monterey Bay,,California ,
,Pigeon Guillemont,Cepphus columba,,Alcatraz,,California,
,Rhinoceros Auklet,Cerorhinca monocerata,10/5/19,Monterey Bay,,California ,
,Tufted Puffin,Fratercula cirrhata,10/5/19,Monterey Bay,,California ,
Columbidae,Band-tailed Pigeon,Columba fasciata,,Big Sir,,California,
,Common Ground-Dove,,,Vero beach,,Florida,
,Eurasian Collared-Dove,Streptopilia decaocto,,Rural,,Nebraska,
,Inca Dove,Columbina inca,6/12/18,San Bernadino NWR,,Arizona,
,Mourning Dove,Zenaida macroura,,Backyard,,Nebraska,
,Rock Dove,Columba livia,,Backyard,,Nebraska,
,White-winged Dove,,,Phoenix,,Arizona,
Cuculidae,Yellow-billed Cuckoo,Coccyzus americana,,Neale Woods,,Nebraska,
,Greater Roadrunner,Geococcyx californianus,,Phoenix,,Arizona,
Tytonidae,Barn Owl,Tyto alba,,Fontenelle Forest,,Nebraska,
Strigidae,Barred Owl,Strix varia,,Fontenelle Forest,,Nebraska,
,Burrowing Owl,Anthene cunicularia,,Cherry County Ranch,,Nebraska,
,Eastern Screech-Owl,Otus asio,,Backyard,,Nebraska,
,Elf Owl (H),Micrathene whitneyi,6/9/18,Cave Canyon,,Arizona,
,Flammulated Owl (H),,6/2/20,Jeremy Ranch,,Utah,
,Great Horned Owl,Bubo virginianus,,Fontenelle Forest,,Nebraska,
,Short-eared Owl,Asio flammeus,11/12/17,Derr House,,Nebraska,
,Snowy Owl,Nyctea scandiaca,12/24/11,Seward County,,Nebraska,
,Western Screech-Owl,,,Stanford,,California,
,Whiskered Screech-Owl (H),Megascops trichopsis,6/9/18,Cave Creek Canyon,,Arizona,
Trogonidae,Elegant Trogon,Trogon elegans,6/10/18,Cave Creek Canyon,,Arizona,
Caprimulgidae,Chuck-will’s Widow (H),,5/11/19,Belleplain,,New Jersey,
,Common Nighthawk,Chordeiles minor,,Backyard,,Nebraska,
,Common Poorwill,,7/19/22,Carbondale,,Colorado,
,Lesser Nighthawk,Chordeiles acutipennis,6/9/18,Portal,,Arizona,
,Mexican Whip-poor-will (H),Antrostomus arizonae,6/9/18,Cave Creek Canyon,,Arizona,
,Whip-poor-will,Caprimulgus vociferus,,Fontenelle Forest,,Nebraska,
Apodidae,Chimney Swift,Chaetura pelagica,,Backyard,,Nebraska,
,White-throated Swift,Aeronautes saxatilis,,W.O.N.R.,,Idaho,
,Vaux's Swift,,,Palo Alto,,California,
Trochilidae,Allen's Hummingbird,Selasphorus sasin,,San Simeon,,California,
,Anna's Hummingbird,Calypte anna,,Palo Alto,,California,
,Black-chinned Hummingbird,Archilochus alexandri,7/16/08,Shwayder Camp,,Colorado,
,Blue-throated Hummingbird,,,Madera Canyon,,Arizona,
,Broad-billed Hummingbird,,,Madera Canyon,,Arizona,
,Broad-tailed Hummingbird,Selasphorus platycercus,,Shwayder Camp,,Colorado,
,Lucifer Hummingbird,Calothorax lucifer,6/10/18,Portal,,Arizona,
,Magnificent Hummingbird,,,Madera Canyon,,Arizona,
,Ruby-throated Hummingbird,Archilochus colubris,,Backyard,,Nebraska,
,Rufous Hummingbird,Selasphorus rufus,,San Simeon,,California,
,Violet-crowned Hummingbird,Amazilia violiceps,6/12/18,Paton's Hummingbird Center,,Arizona,
Alcedinidae,Belted Kingfisher,Ceryle alcyon,,F.I.I.K.,,Nebraska,
Picidae,Acorn Woodpecker,Melanerpes formicivorus,,Santa Barbara,,California,
,American Three-toed Woodpecker,Picoides dorsalis,,Shwayder camp,,Colorado,
,Arizona Woodpecker,,,Madera Canyon,,Arizona,
,Black-backed Woodpecker,Picoides arcticus,,Lassen National Park,,California,
,Downy Woodpecker,Picoides villosus,,Backyard,,Nebraska,
,Gila Woodpecker,Melanerpes upupygialis,,Scottsdale,,Arizona,
,Hairy Woodpecker,Picoides pubescens,,Backyard,,Nebraska,
,Ladder-backed Woodpecker,,,Madera Canyon,,Arizona,
,Lewis' Woodpecker,Melanerpes lewis,,W.O.N.R.,,Idaho,
,Northern Flicker,Colaptes aura,,F.I.I.K.,,Nebraska,
,Nuttall's Woodpecker,Picoides nuttalli,,San Simeon,,California,
,Pileated Woodpecker,Dryocopus pileatus,,W.O.N.R.,,Idaho,
,Red-bellied Woodpecker,Melanerpes carolinensis,,Fontenelle Forest,,Nebraska,
,Red-headed Woodpecker,Melanerpes erythrocephalus,,Backyard,,Nebraska,
,Red-breasted Sapsucker,,,Lake Tahoe,,California,
,Red-naped Sapsucker,Sphyrapicus nuchalis,,Shwayder Camp,,Colorado,
,White-headed Woodpecker,,,Mono Hot springs,,California,
,Williamson's Sapsucker,Sphyrapicus thyroides,,Yellowstone,,Wyoming,
,Yellow-bellied Sapsucker,Sphyrapicus varius,,Fort Calhoun,,Nebraska,
Tyrannidae,Acadian Flycatcher ,,5/11/19,Belleplain ,,New Jersey,
,Alder Flycatcher,Empidonax alnorum,5/27/18,Tuttle Marsh,,Michigan,
,Ash-throated Flycatcher,,,The Dish,,California,
,Black Phoebe,Sayornis nigricans,,Palo Alto,,California,
,Brown-crested Flycatcher,Myiarchus tyrannulus,6/10/18,Cave Creek Canyon,,Arizona,
